canonical_smiles,molecule_chembl_id,pchembl_value,standard_units,standard_value,units,value,Potency
CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1.Cl,CHEMBL1707,6.91,nM,123.0,nM,123.0,Active
O=C1NCN(c2ccccc2)C12CCN(Cc1cccc(Oc3ccccc3)c1)CC2,CHEMBL115280,5.74,nM,1840.0,nM,1840.0,Active
O=C1CNc2ccccc2N1C1CCN(Cc2cc3c(cc2Cl)OCO3)CC1,CHEMBL325842,6.21,nM,620.0,nM,620.0,Active
O=C1NCN(c2ccccc2)C12CCN(Cc1cc3c(cc1Cl)OCO3)CC2,CHEMBL115652,6.86,nM,138.0,nM,138.0,Active
CNC(=O)CN1CN(c2ccccc2)C2(CCN(C(=O)OCc3cc4c(cc3Cl)OCO4)CC2)C1=O,CHEMBL114825,5.75,nM,1765.0,nM,1765.0,Active
COc1ccc2c(c1OC)[C@]13CC[N+](C)(C)[C@H](C2)[C@]12C=C[C@]1(OC)[C@H]3N=C(c3ccccc3)[C@]1(C)C2.[I-],CHEMBL3037845,7.47,nM,34.0,nM,34.0,Active
CN(C(=O)Cc1ccccc1)[C@H]1CC[C@@]2(CCCO2)C[C@@H]1N1CCCC1,CHEMBL440765,5.23,nM,5844.0,nM,5844.0,Active
CO[C@@]12C=C[C@]34C[C@]1(C)[C@@H](c1ccccc1)N[C@H]2[C@@]31CCN(C)[C@@H]4Cc2ccc(O)cc21,CHEMBL4649916,9.49,nM,0.32,nM,0.32,Active
CO[C@]12C=C[C@]34C[C@@]1(C)[C@H](c1ccccc1)N(C)[C@H]2C31CCN(C)C4Cc2ccc(O)cc21,CHEMBL318636,9.15,nM,0.71,nM,0.71,Active
CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCn2cccn2)CC1,CHEMBL169366,6.09,nM,809.0,nM,809.0,Active
COC12C=CC34C[C@@]1(C)C(c1ccccc1)=N[C@H]2C31CCN(C)C4Cc2ccc(O)cc21,CHEMBL102092,9.16,nM,0.69,nM,0.69,Active
COc1ccc(Cl)cc1-c1cccn(C(CN2CCCC2)c2ccccc2)c1=O,CHEMBL293143,5.38,nM,4170.0,nM,4170.0,Active
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2cccn2)CC1,CHEMBL168723,5.77,nM,1701.0,nM,1701.0,Active
COc1ccc2c(c1O)C13CCN(C)C(C2)C12C=CC1(OC)[C@H]3N=C(c3ccccc3)[C@]1(C)C2,CHEMBL410909,8.61,nM,2.44,nM,2.44,Active
Cc1cccc(-c2cccn(C(CN3CCCC3)c3ccccc3)c2=O)c1,CHEMBL302684,6.19,nM,639.0,nM,639.0,Active
COc1ccc(-c2cccn(C(CN3CCCC3)c3ccccc3)c2=O)cc1,CHEMBL305552,5.28,nM,5214.0,nM,5214.0,Active
CC(c1ccccc1Cl)N1CCC(n2c(O)nc3ccccc32)CC1,CHEMBL146054,5.72,nM,1900.0,nM,1900.0,Active
CCOc1ccc(C2=N[C@H]3C45CCN(C)C(Cc6ccc(OC)c(O)c64)[C@]54C=C[C@@]3(OC)[C@@]2(C)C4)cc1,CHEMBL353736,7.93,nM,11.62,nM,11.62,Active
COc1ccc(F)cc1-c1cccn(C(CN2CCCC2)c2ccccc2)c1=O,CHEMBL64284,5.36,nM,4350.0,nM,4350.0,Active
CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](CC(=O)O)NC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@@H]1C(=O)N[C@H](CCCCN)C(N)=O,CHEMBL277132,6.06,nM,870.0,nM,870.0,Active
CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)C(N)=O,CHEMBL216640,7.58,nM,26.0,nM,26.0,Active
